,name,family,z,solvent_model,solvent,nelect,H_cplx_ox,S_cplx_ox,G_cplx_ox,r_A_ox,r_AX_ox,H_cplx_rad,S_cplx_rad,G_cplx_rad,r_A_rad,r_AX_rad,H_cplx_red,S_cplx_red,G_cplx_red,r_A_red,r_AX_red
43,mol_24,Family.IIO,0,SMD,water,124,-638.699364835026,0.00011743949400744,-638.734379420165,4.5780588711069,6.56575484246947,-638.696288309939,0.00012741177938943,-638.734276131963,4.57531548290755,6.80438018604984,-638.694890780574,0.000125517580736396,-638.732313847271,4.61712714435498,6.55898233957194
44,mol_25,Family.IIO,0,SMD,water,110,-638.700294049813,0.000121072094040803,-638.736391694651,4.04528514790856,6.21098655858387,-638.699261040424,0.000118097268510402,-638.734471741031,4.01832808569626,5.43871119172856,-638.696590513338,0.000121126162170109,-638.732704278589,4.0135152665075,6.18775281689292
45,mol_26,Family.IIO,0,SMD,water,118,-638.700971874108,0.000114325629981623,-638.735058060687,4.64707141960437,6.10442675163489,-638.699053249495,0.000113045820703959,-638.732757860937,4.65879695341169,5.93726877476131,-638.69474636615,0.000128053242992658,-638.732925440549,4.68663430420182,6.74019281135437
46,mol_27,Family.IIO,0,SMD,water,110,-638.699830426783,0.00012175892114439,-638.736132849122,3.94413723237339,6.20613233589378,-638.699070327455,0.000117673094011214,-638.734154560434,3.9390331485716,5.2407251889063,-638.695415637158,0.000131279198985734,-638.734556530335,3.98019933445928,5.88752534273523
47,mol_28,Family.IIO,0,SMD,water,156,-638.70188933133,0.000124373597470173,-638.738971319416,5.00972614999887,6.51010991959734,-638.698227879686,0.000123298777195907,-638.734989410107,5.00429743949111,7.11405279828918,-638.696637406988,0.000129599085472556,-638.735277374322,5.06679797193711,7.08618819331224
48,mol_29,Family.IIO,0,SMD,water,124,-638.700502232858,0.000124672266599036,-638.737673269144,4.29907703919012,5.27325099293844,-638.696468440034,0.000127297743533265,-638.734422262268,4.29444573471139,6.55320864634999,-638.694394818282,0.000118858913245953,-638.729832603267,4.23505595307039,6.43209380107405
49,mol_30,Family.IIO,0,SMD,water,146,-638.701145224167,0.000125710089192881,-638.73862568726,4.321985817716,5.23436009746467,-638.697630330592,0.000123525411718171,-638.734459432096,4.32177487180442,6.17319810438033,-638.699162802001,0.000119674469730378,-638.734843745151,4.35132193646759,5.14653536200328
50,mol_31,Family.IIO,0,SMD,water,146,-638.700843321651,0.00011482491730634,-638.735078370746,4.61009857081325,6.50443912263036,-638.700154279269,0.000121310428182744,-638.736322983432,4.6009698015665,5.91807297326329,-638.697888844809,0.000121808375939014,-638.734206012096,4.62024587000981,6.12913560113105
51,mol_32,Family.IIO,0,SMD,water,146,-638.700512157718,0.000120370706240321,-638.736400683784,4.57149916617225,5.552095404318,-638.698434960415,0.000119904448138279,-638.734184471628,4.56747048305568,6.02130536463035,-638.693338762787,0.000132242626891096,-638.732766901994,4.5779205286081,6.62857133496897
52,mol_33,Family.IIO,0,SMD,water,146,-638.699836747653,0.000118866089383923,-638.735276672203,4.63060607615212,6.51520339281889,-638.698249876605,0.000114405760485787,-638.732359954093,4.64039578697127,6.68455895661203,-638.698300858039,0.000123174601431937,-638.735025365456,4.65278489164548,6.47288799857479
53,mol_34,Family.IIO,0,SMD,water,118,-638.700637486582,0.000122168541615041,-638.737062037265,4.6936103054596,6.26325860552337,-638.699742739735,0.000120196131270065,-638.735579216273,4.70507542817828,6.20504030434084,-638.695800584354,0.000123561781098013,-638.732640529388,4.23780741728016,6.88281811013264
54,mol_35,Family.IIO,1,SMD,water,110,-638.70316437588,0.000113194147659968,-638.736913211005,4.0540988952302,5.33385480427038,-638.704167029229,0.00010810505544486,-638.73639855151,4.04360687743706,5.28108230714432,-638.701124650631,0.000118764204089797,-638.73653419808,4.06504062322419,6.26489309862055
55,mol_36,Family.APO,0,SMD,water,128,-638.705714420847,0.000115469589506508,-638.740141678959,4.12764896552243,4.99846084666671,-638.699099910621,0.000119790696228731,-638.734815506702,4.14158013568984,5.74814920716545,-638.700135011762,0.000118156492003297,-638.735363369853,4.13165338511108,5.23588325474976
56,mol_37,Family.APO,0,SMD,water,150,-638.700985923888,0.000117856694041526,-638.736124897216,4.57780004453106,5.30240909737347,-638.699547630534,0.000119468707786357,-638.735167225761,4.61589282940579,5.70265142591706,-638.700946469557,0.000119079597948033,-638.736450051685,4.61245935896863,6.50837230344702
57,mol_38,Family.APO,0,SMD,water,150,-638.70601050756,0.000117152856466689,-638.740939631716,5.20696062232981,5.25933437641464,-638.695160977541,0.000122142042528836,-638.731577627521,5.18245417972162,6.30999753945273,-638.696205404635,0.000130279582120935,-638.735048262045,5.00162784600443,6.44552079862886
58,mol_39,Family.APO,0,SMD,water,150,-638.705067944193,0.000120559999617091,-638.741012908079,5.09976885218033,5.24194840669079,-638.701835743745,0.000107875727388164,-638.733998891866,5.09301939666688,5.98376207175512,-638.701700323854,0.000115503326557252,-638.736137640667,5.11159295908086,5.93616086006165
59,mol_40,Family.APO,0,SMD,water,172,-638.699512804342,0.000125618218346224,-638.736965876142,5.19380754586539,6.66133724755133,-638.696124953996,0.000120701916721562,-638.732112230466,5.09829481371372,6.81155021896089,-638.693220351427,0.000121955419172458,-638.729581359654,5.16564134192714,6.58672848960207
60,mol_41,Family.APO,0,SMD,water,172,-638.698745222792,0.00012501213993736,-638.736017592314,5.09072370209405,6.36246608209151,-638.696856135044,0.000125086016108984,-638.734150530747,5.04782875297463,7.19921905059343,-638.702106037515,0.000110226699860541,-638.734970128078,5.06156987551372,5.62284332320795
61,mol_42,Family.APO,0,SMD,water,172,-638.704808649964,0.000119060510949095,-638.740306541303,5.07657177338465,5.19904733595664,-638.696322160129,0.000120193766688935,-638.732157931667,5.11657971144486,7.08274598767056,-638.695752882997,0.000131786000162721,-638.735044878945,5.00209377762386,7.43019422410227
62,mol_43,Family.APO,0,SMD,water,172,-638.701415335829,0.000120945241025208,-638.737475159441,5.46830476949954,5.88191288605883,-638.697757468626,0.000127648735096836,-638.735815938995,5.48504608816475,5.96696869178677,-638.701568956087,0.000111842890986579,-638.734914914034,5.68077322878357,5.62661979666264
64,mol_45,Family.APO,0,SMD,water,172,-638.706710463539,0.000118452932666028,-638.742027205414,5.20579179644397,5.16235188391956,-638.695584160346,0.000126093322589615,-638.733178884476,4.90446525257572,6.97187237900877,-638.693392594569,0.000127192870436817,-638.73131514889,4.97985309083735,7.16639085055037
65,mol_46,Family.APO,0,SMD,water,172,-638.706509789565,0.000111811120880087,-638.739846275256,5.13893564898702,5.18114124685777,-638.694211123055,0.000115286482448879,-638.728583787797,5.16586873464697,7.10928729886777,-638.694472353874,0.000123402743472298,-638.731264881841,5.15108805707995,7.22105585032478
66,mol_47,Family.APO,0,SMD,water,172,-638.706521773858,0.000115566153188059,-638.740977822431,5.21518488903053,5.560168813278,-638.696677419844,0.00012656071318214,-638.734411496479,5.22269932676698,6.85994671214883,-638.700640621867,0.000129023514830938,-638.739108982814,5.55292741692729,6.45821502948773
67,mol_48,Family.APO,0,SMD,water,172,-638.703375415797,0.000106487576560978,-638.735124686749,5.12306184688556,5.76078055845996,-638.703884205046,0.000108799333378632,-638.736322726293,5.13027782886867,6.05539929794291,-638.703597575966,0.000113878225872589,-638.737550369009,4.78981858909083,6.14624957901795
68,mol_49,Family.APO,0,SMD,water,136,-638.702831097054,0.00011386526491673,-638.736780025789,4.12854210728349,5.00829258631617,-638.700808113041,0.000116779908418492,-638.735626042736,4.14245141032978,5.10772240120946,-638.702061696249,0.000117096214654892,-638.736973932648,4.13913147787968,5.55145115481036
69,mol_50,Family.APO,0,SMD,water,136,-638.700241117542,0.000114078384525036,-638.734253587888,4.56463442307549,5.88062357660821,-638.695944083922,0.000128740981119738,-638.734328207443,4.5214950639136,6.53484861381797,-638.696181079231,0.000126758117107028,-638.733974011847,4.56930166789311,6.27360539239959
70,mol_51,Family.APO,0,SMD,water,136,-638.705676146338,0.000120666045677274,-638.741652727857,4.52278219749355,4.97022193070377,-638.700583605686,0.000117866246541511,-638.735725427092,4.50320328075246,5.44843412758368,-638.700380742745,0.000116587297491824,-638.735141245492,4.48537124437374,5.22042513376979
71,mol_52,Family.APO,0,SMD,water,150,-638.699262200209,0.00013049196574466,-638.738168379795,4.11209485648962,5.60480467981255,-638.701600919257,0.000116052473455501,-638.736201964218,4.11812011069462,5.37428326640221,-638.701131952256,0.000118538036589925,-638.736474067866,4.11707548683883,5.16156957963125
72,mol_53,Family.APO,0,SMD,water,150,-638.706809215549,0.000118606507068003,-638.742171745631,4.74085710628633,5.01192234007786,-638.700863426912,0.000114577591682405,-638.735024735872,4.7094306174863,5.29098855165612,-638.700632108993,0.000111637185093541,-638.733916735729,4.67876017845047,5.33494527722865
73,mol_54,Family.APO,0,SMD,water,150,-638.703591285747,0.000109810349103842,-638.736331241332,4.6278277758901,5.13987268208673,-638.701625323041,0.000114883735585477,-638.735877908806,4.63501242032709,5.82678425838081,-638.700627421939,0.00011596972949393,-638.735203796788,4.65267302512454,5.67083331033173
74,mol_55,Family.APO,0,SMD,water,172,-638.707915987447,0.000108303076233229,-638.740206549626,4.67364359583287,5.10531180308378,-638.70253798394,0.000126701106754913,-638.740313918919,4.68208272363367,5.96549082536218,-638.701837838748,0.000119186758127508,-638.737373370684,4.67280221391621,5.86766019386249
75,mol_56,Family.P5O,0,SMD,water,100,-638.697449849423,0.000125096964604855,-638.73474750942,3.79898649388476,5.78892174436062,-638.696531495495,0.00012053524097463,-638.732469077591,3.84592518447493,5.61405056788806,-638.705027058958,0.000128817078166011,-638.743433870813,3.87913419899393,6.59831593228722
76,mol_57,Family.P5O,0,SMD,water,94,-638.695719136044,0.000123392800300593,-638.732508699453,3.57153545753553,5.89503132546021,-638.699349480897,0.000126281926689593,-638.737000437339,3.54225655495318,4.67414082375103,-638.698027009469,0.000129266821893719,-638.736567912416,3.6026090312843,5.72139030304685
77,mol_58,Family.P5O,0,SMD,water,98,-638.697724786116,0.000120089217530779,-638.733529386323,3.66553405297637,6.35955785277763,-638.697668923938,0.000122144144051607,-638.734086200486,3.65238764774302,6.53488199381589,-638.705367963672,0.000117708618762591,-638.740462788356,3.63958325741259,6.46109429182378
78,mol_59,Family.P5O,0,SMD,water,92,-638.697433317447,0.000114270213144987,-638.731502981496,3.62579059550545,6.31409843471911,-638.696672071283,0.000120665270483801,-638.732648421678,3.62375842208835,6.59452859726505,-638.696407838051,0.000125149747745849,-638.733721235341,3.6459060657852,6.61266018183009
79,mol_60,Family.IIO,0,SMD,water,136,-638.700141123774,0.000123119668657479,-638.736849252985,4.00609484185769,6.3252600364296,-638.696522661617,0.000124513062110823,-638.733646231085,4.00091299486569,6.42392822620872,-638.695385553145,0.000126044735447919,-638.732965791019,4.01409669357379,6.19296466584931
80,mol_61,Family.P6O,0,SMD,water,120,-638.695738309907,0.000120212359867688,-638.731579625002,3.3092876864644,5.56676947505297,-638.694362687936,0.000132473958807051,-638.733859798754,3.30268482491195,5.89110383489844,-638.686398170813,0.000118791978972194,-638.721815999344,3.3378642983248,5.03383187832872
