id,name,family,z,solvent_model,solvent,nelect,H_cplx_ox,S_cplx_ox,G_cplx_ox,r_A_ox,r_AX_ox,H_cplx_rad,S_cplx_rad,G_cplx_rad,r_A_rad,r_AX_rad,H_cplx_red,S_cplx_red,G_cplx_red,r_A_red,r_AX_red
58,mol_39,Family.APO,0,SMD,water,150,-424.631815603595,5.73377196852832E-05,-424.648910844719,5.09976885218033,5.13213674768761,-214.069656642918,5.82545849871424E-05,-214.087025247432,5.09301939666688,5.59209188352908,-214.067204446212,6.73431330393938E-05,-214.087282801328,5.11159295908086,7.28134557688993
59,mol_40,Family.APO,0,SMD,water,172,-424.631354956045,6.20861972667311E-05,-424.64986595576,5.19380754586539,5.19649705171804,-214.067404496435,5.62991501967781E-05,-214.084190088066,5.09829481371372,7.04789537514069,-214.069391178779,6.18746830625333E-05,-214.087839115534,5.16564134192714,5.77142588014086
60,mol_41,Family.APO,0,SMD,water,172,-424.630759768913,5.59281905194802E-05,-424.647434758916,5.09072370209405,5.07787701778134,-214.071127605964,6.37406206975179E-05,-214.090131872025,5.04782875297463,5.09047122181408,-214.074817448711,5.96927441830825E-05,-214.09261484039,5.06156987551372,4.98421780712865
61,mol_42,Family.APO,0,SMD,water,172,-424.627102090353,6.29443501317115E-05,-424.645868948345,5.07657177338465,6.47435674108435,-214.066459203733,6.46944219331035E-05,-214.085747845633,5.11657971144486,7.25105195495673,-214.076914350787,6.41085080436032E-05,-214.09602830246,5.00209377762386,4.72715524648363
62,mol_43,Family.APO,0,SMD,water,172,-424.631570923863,5.58514666079607E-05,-424.648223038632,5.46830476949954,5.6135001014459,-214.067091868299,6.75483710481807E-05,-214.087231415127,5.48504608816475,6.4514452217636,-214.071827654128,6.60427007785514E-05,-214.091518285365,5.68077322878357,5.58323760810242
63,mol_44,Family.APO,0,SMD,water,172,-424.631570579581,5.60446189402977E-05,-424.648280282717,5.32488658000933,5.33254068762751,-214.071789465089,6.56943424782189E-05,-214.091376233299,5.41108050883563,5.38214165129398,-214.071094891679,6.77849322630393E-05,-214.091304969234,5.45909114319043,5.40061041987336
64,mol_45,Family.APO,0,SMD,water,172,-424.630251157057,5.87874790379555E-05,-424.647778643932,5.20579179644397,5.22116373391673,-214.064472819314,7.23394158031081E-05,-214.086040816136,4.90446525257572,7.2691293187942,-214.074039904011,5.77858098910855E-05,-214.091268743229,4.97985309083735,5.12625197367164
65,mol_46,Family.APO,0,SMD,water,172,-424.63096550579,6.01288905684109E-05,-424.648892934513,5.13893564898702,4.97157060745899,-214.065897982259,6.16198695560219E-05,-214.084269946367,5.16586873464697,7.15673222654491,-214.07417630338,6.6833146931031E-05,-214.094102606138,5.15108805707995,4.9354088495734
66,mol_47,Family.APO,0,SMD,water,172,-424.631849389319,5.6623630258532E-05,-424.648731724681,5.21518488903053,5.56046296864043,-214.066675831355,6.55259913621017E-05,-214.08621240568,5.22269932676698,6.72811276038123,-214.071984315852,6.73443213412356E-05,-214.09206302526,5.55292741692729,5.55245896559808
67,mol_48,Family.APO,0,SMD,water,172,-424.630162005521,5.66302882027398E-05,-424.647046325948,5.12306184688556,4.83915227000553,-214.063522551513,6.215235496178E-05,-214.082053276145,5.13027782886867,6.10490915595503,-214.070084359839,6.08337672639522E-05,-214.088221947548,4.78981858909083,4.9581877832727
